timestamp,source,tag,value,unit
2023-01-01 00:00:00,PAK,24-2000:Mg.Sulfur,6.5729241371154785,ppm
2023-01-01 00:10:00,PAK,24-2000:Mg.Sulfur,6.7300944328308105,ppm
2023-01-01 00:20:00,PAK,24-2000:Mg.Sulfur,7.158879280090332,ppm
2023-01-01 00:30:00,PAK,24-2000:Mg.Sulfur,7.620471954345703,ppm
2023-01-01 00:40:00,PAK,24-2000:Mg.Sulfur,8.173620223999023,ppm
2023-01-01 00:50:00,PAK,24-2000:Mg.Sulfur,8.716105461120605,ppm
2023-01-01 01:00:00,PAK,24-2000:Mg.Sulfur,9.64232349395752,ppm
2023-01-01 01:10:00,PAK,24-2000:Mg.Sulfur,9.722434043884277,ppm
2023-01-01 01:20:00,PAK,24-2000:Mg.Sulfur,9.378595352172852,ppm
2023-01-01 01:30:00,PAK,24-2000:Mg.Sulfur,9.051027297973633,ppm
2023-01-01 01:40:00,PAK,24-2000:Mg.Sulfur,9.09375286102295,ppm
2023-01-01 01:50:00,PAK,24-2000:Mg.Sulfur,8.767205238342285,ppm
2023-01-01 02:00:00,PAK,24-2000:Mg.Sulfur,8.773308753967285,ppm
2023-01-01 02:10:00,PAK,24-2000:Mg.Sulfur,8.448878288269043,ppm
2023-01-01 02:20:00,PAK,24-2000:Mg.Sulfur,8.480330467224121,ppm
2023-01-01 02:30:00,PAK,24-2000:Mg.Sulfur,8.606982231140137,ppm
2023-01-01 02:40:00,PAK,24-2000:Mg.Sulfur,8.619190216064453,ppm
2023-01-01 02:50:00,PAK,24-2000:Mg.Sulfur,8.711508750915527,ppm
2023-01-01 03:00:00,PAK,24-2000:Mg.Sulfur,8.835871696472168,ppm
2023-01-01 03:10:00,PAK,24-2000:Mg.Sulfur,8.9182710647583,ppm
2023-01-01 03:20:00,PAK,24-2000:Mg.Sulfur,8.782464027404785,ppm
2023-01-01 03:30:00,PAK,24-2000:Mg.Sulfur,8.553245544433594,ppm
2023-01-01 03:40:00,PAK,24-2000:Mg.Sulfur,8.288064002990723,ppm
2023-01-01 03:50:00,PAK,24-2000:Mg.Sulfur,8.10953140258789,ppm
2023-01-01 04:00:00,PAK,24-2000:Mg.Sulfur,8.014923095703125,ppm
2023-01-01 04:10:00,PAK,24-2000:Mg.Sulfur,8.310953140258789,ppm
2023-01-01 04:20:00,PAK,24-2000:Mg.Sulfur,7.084871768951416,ppm
2023-01-01 04:30:00,PAK,24-2000:Mg.Sulfur,6.138035297393799,ppm
2023-01-01 04:40:00,PAK,24-2000:Mg.Sulfur,7.0090718269348145,ppm
2023-01-01 04:50:00,PAK,24-2000:Mg.Sulfur,8.12930965423584,ppm
2023-01-01 05:00:00,PAK,24-2000:Mg.Sulfur,7.937101364135742,ppm
2023-01-01 05:10:00,PAK,24-2000:Mg.Sulfur,7.641071796417236,ppm
2023-01-01 05:20:00,PAK,24-2000:Mg.Sulfur,7.443464279174805,ppm
2023-01-01 05:30:00,PAK,24-2000:Mg.Sulfur,7.481653690338135,ppm
2023-01-01 05:40:00,PAK,24-2000:Mg.Sulfur,7.60597562789917,ppm
