prediction_origin,previous,previous_age_hours,previous_sample_time,previous_available_at,median3,d15,d15_sample_time,d15_available_at,t50,t50_sample_time,t50_available_at,t90,t90_sample_time,t90_available_at,feed_t95,feed_t95_sample_time,feed_t95_available_at,product_t95,product_t95_sample_time,product_t95_available_at,T6,T6_sample_time,F9,F9_sample_time,P13,P13_sample_time,F2,F2_sample_time,index,target_time,target
2023-01-01 07:00:00,,,,,,,,,,,,,,,,,,,,,355.29498291015625,2023-01-01 07:00:00,174.40150451660156,2023-01-01 07:00:00,3.818660497665405,2023-01-01 07:00:00,87800.6328125,2023-01-01 07:00:00,,2023-01-01 10:00:00,337.0
2023-01-02 07:00:00,337.0,21.0,2023-01-01 10:00:00,2023-01-01 14:00:00,337.0,842.9000244140625,2023-01-01 10:00:00,2023-01-01 14:00:00,271.0,2023-01-01 10:00:00,2023-01-01 14:00:00,325.0,2023-01-01 10:00:00,2023-01-01 14:00:00,341.0,2023-01-01 10:00:00,2023-01-01 14:00:00,337.0,2023-01-01 10:00:00,2023-01-01 14:00:00,349.4121398925781,2023-01-02 07:00:00,158.6751251220703,2023-01-02 07:00:00,3.969120979309082,2023-01-02 07:00:00,89705.265625,2023-01-02 07:00:00,50.42320625367586,2023-01-02 10:00:00,342.0
2023-01-03 07:00:00,342.0,21.0,2023-01-02 10:00:00,2023-01-02 14:00:00,339.5,836.7999877929688,2023-01-02 10:00:00,2023-01-02 14:00:00,273.0,2023-01-02 10:00:00,2023-01-02 14:00:00,327.0,2023-01-02 10:00:00,2023-01-02 14:00:00,345.0,2023-01-02 10:00:00,2023-01-02 14:00:00,342.0,2023-01-02 10:00:00,2023-01-02 14:00:00,359.2385559082031,2023-01-03 07:00:00,175.81272888183594,2023-01-03 07:00:00,3.816071510314941,2023-01-03 07:00:00,87328.3671875,2023-01-03 07:00:00,52.9104648814706,2023-01-03 10:00:00,342.0
2023-01-04 07:00:00,342.0,21.0,2023-01-03 10:00:00,2023-01-03 14:00:00,342.0,841.2999877929688,2023-01-03 10:00:00,2023-01-03 14:00:00,272.0,2023-01-03 10:00:00,2023-01-03 14:00:00,328.0,2023-01-03 10:00:00,2023-01-03 14:00:00,341.0,2023-01-03 10:00:00,2023-01-03 14:00:00,342.0,2023-01-03 10:00:00,2023-01-03 14:00:00,355.7549133300781,2023-01-04 07:00:00,171.4742431640625,2023-01-04 07:00:00,3.812613487243652,2023-01-04 07:00:00,88615.2578125,2023-01-04 07:00:00,51.16928837419971,2023-01-04 10:00:00,339.0
2023-01-05 07:00:00,339.0,21.0,2023-01-04 10:00:00,2023-01-04 14:00:00,342.0,841.0,2023-01-04 10:00:00,2023-01-04 14:00:00,272.0,2023-01-04 10:00:00,2023-01-04 14:00:00,325.0,2023-01-04 10:00:00,2023-01-04 14:00:00,345.0,2023-01-04 10:00:00,2023-01-04 14:00:00,339.0,2023-01-04 10:00:00,2023-01-04 14:00:00,352.2494812011719,2023-01-05 07:00:00,164.04806518554688,2023-01-05 07:00:00,3.8995187282562256,2023-01-05 07:00:00,88940.0703125,2023-01-05 07:00:00,51.2707055195948,2023-01-05 10:00:00,340.0
2023-01-06 07:00:00,340.0,21.0,2023-01-05 10:00:00,2023-01-05 14:00:00,340.0,839.0999755859375,2023-01-05 10:00:00,2023-01-05 14:00:00,274.0,2023-01-05 10:00:00,2023-01-05 14:00:00,326.0,2023-01-05 10:00:00,2023-01-05 14:00:00,347.0,2023-01-05 10:00:00,2023-01-05 14:00:00,340.0,2023-01-05 10:00:00,2023-01-05 14:00:00,363.665283203125,2023-01-06 07:00:00,168.85696411132812,2023-01-06 07:00:00,3.505455017089844,2023-01-06 07:00:00,90126.171875,2023-01-06 07:00:00,52.32443475279706,2023-01-06 10:00:00,348.0
2023-01-07 07:00:00,348.0,21.0,2023-01-06 10:00:00,2023-01-06 14:00:00,340.0,835.2999877929688,2023-01-06 10:00:00,2023-01-06 14:00:00,268.0,2023-01-06 10:00:00,2023-01-06 14:00:00,328.0,2023-01-06 10:00:00,2023-01-06 14:00:00,356.0,2023-01-06 10:00:00,2023-01-06 14:00:00,348.0,2023-01-06 10:00:00,2023-01-06 14:00:00,374.8687744140625,2023-01-07 07:00:00,228.2056884765625,2023-01-07 07:00:00,4.026512622833252,2023-01-07 07:00:00,102218.9375,2023-01-07 07:00:00,52.380230845608025,2023-01-07 10:00:00,347.0
2023-01-08 07:00:00,347.0,21.0,2023-01-07 10:00:00,2023-01-07 14:00:00,347.0,845.0,2023-01-07 10:00:00,2023-01-07 14:00:00,278.0,2023-01-07 10:00:00,2023-01-07 14:00:00,332.0,2023-01-07 10:00:00,2023-01-07 14:00:00,348.0,2023-01-07 10:00:00,2023-01-07 14:00:00,347.0,2023-01-07 10:00:00,2023-01-07 14:00:00,369.0780334472656,2023-01-08 07:00:00,213.1595916748047,2023-01-08 07:00:00,3.7924535274505615,2023-01-08 07:00:00,90676.3515625,2023-01-08 07:00:00,51.12724408851716,2023-01-08 10:00:00,343.0
2023-01-09 07:00:00,343.0,21.0,2023-01-08 10:00:00,2023-01-08 14:00:00,347.0,842.5999755859375,2023-01-08 10:00:00,2023-01-08 14:00:00,273.0,2023-01-08 10:00:00,2023-01-08 14:00:00,328.0,2023-01-08 10:00:00,2023-01-08 14:00:00,347.0,2023-01-08 10:00:00,2023-01-08 14:00:00,343.0,2023-01-08 10:00:00,2023-01-08 14:00:00,349.4057922363281,2023-01-09 07:00:00,150.1772918701172,2023-01-09 07:00:00,3.897386074066162,2023-01-09 07:00:00,89618.3203125,2023-01-09 07:00:00,50.936626535982555,2023-01-09 10:00:00,343.0
2023-01-10 07:00:00,343.0,21.0,2023-01-09 10:00:00,2023-01-09 14:00:00,343.0,836.0,2023-01-09 10:00:00,2023-01-09 14:00:00,273.0,2023-01-09 10:00:00,2023-01-09 14:00:00,329.0,2023-01-09 10:00:00,2023-01-09 14:00:00,349.0,2023-01-09 10:00:00,2023-01-09 14:00:00,343.0,2023-01-09 10:00:00,2023-01-09 14:00:00,350.422119140625,2023-01-10 07:00:00,177.50462341308594,2023-01-10 07:00:00,3.701961040496826,2023-01-10 07:00:00,85255.359375,2023-01-10 07:00:00,53.18680541475044,2023-01-10 10:00:00,343.0
